Id,SalePrice
1461,126440.01819753395
1462,155306.20736631085
1463,181729.6097556225
1464,179556.94597164265
1465,193791.35306341996
1466,188163.84540741413
1467,165609.3596874512
1468,177911.63243221788
1469,189749.55544821807
1470,119156.32767048727
1471,203984.3893966424
1472,93289.94480973127
1473,95063.99697944199
1474,153780.96269350336
1475,155402.12314380714
1476,360146.3056693289
1477,247968.56792980022
1478,312345.1023284736
1479,279411.69246200466
1480,417953.95180892525
1481,307420.64828731475
1482,206675.63083089585
1483,173267.3851873028
1484,184554.37045239238
1485,170557.52367253831
1486,193655.56733526508
1487,296717.6871916805
1488,244472.5805840228
1489,200571.85114513928
1490,191074.3452222157
1491,190712.87599928808
1492,92348.42052044783
1493,182472.25201278573
1494,298101.41612685483
1495,283826.3976198037
1496,236204.47249533405
1497,191044.51434137032
1498,166050.95874822655
1499,163509.91827050646
1500,129685.22915517238
1501,172290.9916848619
1502,168493.64825548467
1503,277999.0676495405
1504,228066.4577562807
1505,218421.92696359695
1506,176468.84307780126
1507,212236.88422104125
1508,192301.55307289312
1509,160099.6217326622
1510,154151.24584958036
1511,153436.60423282324
1512,171284.03746152727
1513,154929.31394918135
1514,166638.311804811
1515,174782.90526798042
1516,160909.38426558702
1517,154820.5133892138
1518,138986.36405773845
1519,230754.95811114128
1520,138276.70041520635
1521,148049.59611670414
1522,164148.33790007327
1523,112576.44889882354
1524,124494.4599150778
1525,123711.81110270086
1526,127582.83553397346
1527,107760.98569289336
1528,128702.4539686761
1529,143197.1310284007
1530,166867.2396815444
1531,119222.14230534335
1532,102874.71756853898
1533,146198.2660636328
1534,115445.89152838972
1535,147550.2541913601
1536,120575.63907597931
1537,77603.82488635636
1538,167554.63332168962
1539,204349.73850825345
1540,113565.54147057727
1541,146477.89347336395
1542,143509.49552070655
1543,223358.9403102157
1544,77784.6264706911
1545,100845.1102744019
1546,120444.53594320215
1547,132398.40810543395
1548,130911.68602985301
1549,110568.0521794248
1550,140766.65989252648
1551,114060.42007156812
1552,135354.0387822929
1553,134988.56566224096
1554,100802.85097340084
1555,167720.84236482356
1556,86930.99105254312
1557,111376.07840345023
1558,88732.29063981342
1559,120401.31337499408
1560,142905.58573000698
1561,139551.44592892725
1562,126541.13280732582
1563,119306.00726552875
1564,164927.55640551625
1565,154523.59945424626
1566,214074.89339550765
1567,83855.40458625044
1568,209401.46416963832
1569,137443.67209547898
1570,130280.7177391438
1571,138392.53611026914
1572,151518.34877343266
1573,242625.03036797396
1574,120956.69829990705
1575,222960.0778655303
1576,207439.95479094386
1577,193641.6394251611
1578,152574.13686218855
1579,143009.08525078927
1580,194748.33689754576
1581,140793.49971702773
1582,126621.81990675305
1583,332423.68760305736
1584,230505.56006696
1585,141027.14453828946
1586,79432.90477800756
1587,110133.16389012187
1588,150697.84428340578
1589,97211.99721761592
1590,139578.46812106116
1591,105517.84334511828
1592,116247.95367476413
1593,117849.31802203525
1594,138796.25419163436
1595,124209.1593549317
1596,244219.6333800458
1597,171735.9581009346
1598,179126.05647263446
1599,192444.29122696552
1600,187401.34260718068
1601,82192.58510417481
1602,103823.82702705289
1603,100545.98123807511
1604,286958.88007702725
1605,250666.3787317446
1606,166288.68586662455
1607,165734.31202735705
1608,209741.11661267406
1609,193075.3135803513
1610,163637.15387972118
1611,152439.36889346055
1612,171990.4969107537
1613,171867.70222501102
1614,119391.37953094592
1615,87956.46377016298
1616,84203.71081538133
1617,93952.83777467776
1618,126566.96097240053
1619,128191.5677538634
1620,177595.58535835613
1621,128558.37894389905
1622,152500.39675853602
1623,295353.99795570964
1624,202264.11958894227
1625,119865.38487495734
1626,175064.4693669767
1627,184887.070499442
1628,267778.41424234194
1629,171575.2256763596
1630,315976.8626618237
1631,215122.84462324574
1632,260613.31613319195
1633,166995.67445135684
1634,179258.84258516753
1635,177224.4657125376
1636,158301.03315219222
1637,178345.25662575153
1638,217107.73170328245
1639,181447.96854420207
1640,264302.4452689123
1641,187613.37219589172
1642,222780.0072523713
1643,224938.11413722872
1644,218268.9237732988
1645,180082.05137333059
1646,153766.4149092836
1647,155160.81384364955
1648,143438.2346461675
1649,141750.47500210526
1650,122310.47500857463
1651,125222.58348470884
1652,93479.0452495308
1653,96084.64610806742
1654,152770.39791158677
1655,160738.30936608536
1656,152976.73307002315
1657,152845.56837348785
1658,152610.9591678885
1659,157986.88478799694
1660,146709.2395985823
1661,455915.0699154125
1662,365616.6927776969
1663,362687.30048206274
1664,411748.5424855488
1665,319538.0505775388
1666,319714.9340930695
1667,312116.74270978273
1668,335924.1552863048
1669,308761.7037299485
1670,340906.5644980684
1671,273362.32711797435
1672,384352.34896546154
1673,283875.40448162524
1674,255540.48827643093
1675,182305.4864473468
1676,187214.84500256547
1677,205944.2744304074
1678,400942.51918765384
1679,348372.9600105366
1680,314525.3026862885
1681,239798.36299698317
1682,304187.1324266008
1683,197596.05902319308
1684,174403.35254751774
1685,174112.0262200631
1686,177805.12025870106
1687,167390.36916446034
1688,187839.40530985472
1689,190370.20510482806
1690,185182.80032216804
1691,175780.8406468248
1692,244678.56037683872
1693,166759.82042214525
1694,180167.40045490235
1695,165899.42989183075
1696,266084.06045849354
1697,166603.77200697648
1698,320250.07008256146
1699,317362.1842585744
1700,243509.8512384233
1701,254098.1721023311
1702,258001.26145162465
1703,262687.0706446824
1704,305145.5942831666
1705,219126.7726267168
1706,363357.94691795146
1707,205686.21015744886
1708,203796.71728313004
1709,287708.6061620693
1710,225714.21841985703
1711,257378.93543461378
1712,265913.01777402346
1713,261761.15025285498
1714,219276.09651534294
1715,203892.51693510823
1716,189656.0732451288
1717,182274.1455165407
1718,135554.22580980882
1719,205427.87852989425
1720,254316.41443764966
1721,186420.6958878208
1722,127793.30804698971
1723,157056.5087897178
1724,215217.33428228644
1725,232164.09549742466
1726,187613.11377847622
1727,169780.47456097242
1728,186790.74038709752
1729,160666.20424921965
